location,date,latitude,longitude,organisation,group,plasticType,colour,size,shape,amount,comments
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,fibres,green,3-4,fibrous,1,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,fibres,black,>5,fibrous,1,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,fibres,green,>5,fibrous,1,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,film,clear,>5,irregular,1,grooved
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,film,white,>5,irregular,1,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,film,green,2-3,angular,1,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,film,blue,2-3,angular,1,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,film,blue,2-3,irregular,1,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,film,white,3-4,irregular,1,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,4-5,irregular,9,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,>5,irregular,3,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,>5,rounded,4,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,foam,white,2-3,rounded,8,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,3-4,irregular,15,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,>5,irregular,7,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,1-2,irregular,13,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,4-5,irregular,1,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,3-4,irregular,11,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,3-4,rounded,15,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,black,3-4,rounded,1,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,2-3,irregular,3,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,2-3,rounded,15,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,foam,white,3-4,rounded,2,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,foam,white,2-3,irregular,5,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,<1,rounded,6,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,>5,irregular,7,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,4-5,irregular,10,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,1-2,irregular,21,fracturing/weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,2-3,irregular,11,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,>5,rounded,1,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,foam,white,1-2,rounded,1,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,4-5,rounded,6,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,4-5,rounded,2,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,3-4,rounded,10,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,1-2,rounded,44,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,2-3,irregular,21,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,>5,rounded,3,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,2,foam,white,2-3,rounded,26,nan
acton beach,17/09/2020,-35.28728,149.124706,ausmap,1,foam,white,1-2,rounded,7,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,foam,white,>5,irregular,4,fresh
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,foam,white,1-2,irregular,8,weathered
acton beach,17/09/2020,-35.28728,149.124706,ausmap,3,hard fragment,white,1-2,irregular,1,weathered/deteriorating
